"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed May 22 18:30:24 GMT 2024","Wed May 22 18:30:26 GMT 2024","1706","no-auth firefox","example.spec.ts","","","","get started link",""
"passed","Wed May 22 18:30:23 GMT 2024","Wed May 22 18:30:24 GMT 2024","1670","no-auth firefox","example.spec.ts","","","","has title",""
"failed","Wed May 22 18:30:40 GMT 2024","Wed May 22 18:30:47 GMT 2024","6874","no-auth firefox","example.spec.ts","","","","Should Fail",""
"passed","Wed May 22 18:30:47 GMT 2024","Wed May 22 18:30:50 GMT 2024","3019","no-auth safari","example.spec.ts","","","","has title",""
"passed","Wed May 22 18:30:04 GMT 2024","Wed May 22 18:30:05 GMT 2024","897","no-auth chromium","example.spec.ts","","","","get started link",""
"failed","Wed May 22 18:30:17 GMT 2024","Wed May 22 18:30:22 GMT 2024","5508","no-auth chromium","example.spec.ts","","","","Should Fail",""
"passed","Wed May 22 18:30:03 GMT 2024","Wed May 22 18:30:04 GMT 2024","805","no-auth chromium","example.spec.ts","","","","has title",""
"failed","Wed May 22 18:31:06 GMT 2024","Wed May 22 18:31:11 GMT 2024","5794","no-auth safari","example.spec.ts","","","","Should Fail",""
"passed","Wed May 22 18:30:50 GMT 2024","Wed May 22 18:30:53 GMT 2024","2911","no-auth safari","example.spec.ts","","","","get started link",""
