"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jul 01 16:15:49 GMT 2024","Mon Jul 01 16:15:49 GMT 2024","821","no-auth firefox","example.spec.ts","","","","Should Fail",""
"passed","Mon Jul 01 16:15:47 GMT 2024","Mon Jul 01 16:15:49 GMT 2024","1408","no-auth firefox","example.spec.ts","","","","get started link",""
"passed","Mon Jul 01 16:15:50 GMT 2024","Mon Jul 01 16:15:52 GMT 2024","2181","no-auth safari","example.spec.ts","","","","has title",""
"passed","Mon Jul 01 16:15:43 GMT 2024","Mon Jul 01 16:15:44 GMT 2024","1167","no-auth chromium","example.spec.ts","","","","get started link",""
"passed","Mon Jul 01 16:15:45 GMT 2024","Mon Jul 01 16:15:47 GMT 2024","1877","no-auth firefox","example.spec.ts","","","","has title",""
"passed","Mon Jul 01 16:15:55 GMT 2024","Mon Jul 01 16:15:56 GMT 2024","1262","no-auth safari","example.spec.ts","","","","Should Fail",""
"passed","Mon Jul 01 16:15:44 GMT 2024","Mon Jul 01 16:15:45 GMT 2024","635","no-auth chromium","example.spec.ts","","","","Should Fail",""
"passed","Mon Jul 01 16:15:42 GMT 2024","Mon Jul 01 16:15:43 GMT 2024","995","no-auth chromium","example.spec.ts","","","","has title",""
"passed","Mon Jul 01 16:15:52 GMT 2024","Mon Jul 01 16:15:55 GMT 2024","2223","no-auth safari","example.spec.ts","","","","get started link",""
